Modelo,Clase A,Clase B,A -> B,B -> A,Errores bidireccionales,N real A,N real B,A -> B (%),B -> A (%),Score simétrico (%),Bidireccionalidad,Ambas direcciones,Dirección dominante
CNN,Tomato___Leaf_Mold,Tomato___Tomato_mosaic_virus,0,0,0,143,56,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Leaf_Mold,Tomato___healthy,0,0,0,143,238,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,266,251,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Septoria_leaf_spot,Tomato___Target_Spot,0,0,0,266,211,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,266,803,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Septoria_leaf_spot,Tomato___healthy,0,0,0,266,238,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___healthy,0,0,0,251,238,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,211,803,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,0,0,0,803,56,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___healthy,0,0,0,803,238,0.0,0.0,0.0,0.0,False,Equilibrada
CNN,Tomato___Tomato_mosaic_virus,Tomato___healthy,0,0,0,56,238,0.0,0.0,0.0,0.0,False,Equilibrada
